ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CITYNAME,TOT_POP,TOT_MALE,TOT_FEMLE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0,NZ-NTL,North Cape,Northland,1602,North Cape,203532,0.49812734082397,0.50187265917603,0.4501557632398754,0.0,0.0,0.012461059190031152,0.5264797507788161,0.010903426791277258,0.04668534080298786,0.06909430438842204,0.08403361344537816,0.05788982259570495,0.04108309990662932,0.04295051353874883,0.04481792717086835,0.04108309990662932,0.04295051353874883,0.07469654528478058,0.07563025210084033,0.09056956115779645,0.0765639589169001,0.07376283846872082,0.06162464985994398,0.03828197945845005,0.021475256769374416,0.01680672268907563,0.17906976744186046,0.1,0.2930232558139535,0.11627906976744186,0.12558139534883722,0.09767441860465116,0.05116279069767442,0.018604651162790697,0.0,0.018604651162790697,0.49214659685863876,0.09424083769633508,0.0,0.08638743455497382
1,NZ-NTL,Rangaunu Harbour,Northland,2310,Rangaunu Harbour,203532,0.4954486345903771,0.5045513654096229,0.4855212355212355,0.0,0.0,0.016409266409266408,0.4855212355212355,0.01254826254826255,0.07981829980532122,0.0882543802725503,0.0791693705386113,0.06748864373783257,0.04477611940298507,0.05645684620376379,0.054510058403634,0.04153147306943543,0.05970149253731343,0.06619078520441272,0.058403634003893576,0.07527579493835172,0.06943543153796236,0.06424399740428294,0.043478260869565216,0.0227125243348475,0.018170019467878003,0.010382868267358857,0.17301038062283736,0.12283737024221453,0.24048442906574394,0.12110726643598616,0.1522491349480969,0.11072664359861592,0.05536332179930796,0.01384083044982699,0.0,0.010380622837370242,0.518796992481203,0.10338345864661654,0.0,0.10902255639097744
2,NZ-NTL,Karikari Peninsula,Northland,1251,Karikari Peninsula,203532,0.4976076555023923,0.5023923444976076,0.5653021442495126,0.0,0.0,0.011695906432748536,0.4074074074074074,0.015594541910331385,0.045346062052505964,0.06443914081145585,0.06801909307875895,0.0405727923627685,0.028639618138424822,0.028639618138424822,0.0477326968973747,0.03341288782816229,0.0477326968973747,0.06443914081145585,0.081145584725537,0.08949880668257756,0.09785202863961814,0.11813842482100238,0.06205250596658711,0.045346062052505964,0.01909307875894988,0.017899761336515514,0.1264705882352941,0.13529411764705881,0.3058823529411765,0.11470588235294117,0.12058823529411765,0.12058823529411765,0.04411764705882353,0.020588235294117647,0.0,0.011764705882352941,0.5294117647058824,0.12418300653594772,0.0,0.10457516339869281
3,NZ-NTL,Tangonge,Northland,1134,Tangonge,203532,0.493368700265252,0.506631299734748,0.4836734693877551,0.0,0.0,0.00816326530612245,0.4918367346938776,0.0163265306122449,0.0684660961158657,0.07109940750493746,0.08426596445029624,0.05793285055957867,0.052666227781435156,0.04476629361421988,0.048716260697827515,0.051349572086899276,0.053982883475971036,0.086899275839368,0.06056616194865043,0.086899275839368,0.0684660961158657,0.05793285055957867,0.050032916392363395,0.030283080974325215,0.015799868334430547,0.009874917709019092,0.16723549488054607,0.09215017064846416,0.22184300341296928,0.10921501706484642,0.16723549488054607,0.12627986348122866,0.07849829351535836,0.020477815699658702,0.0,0.017064846416382253,0.5148148148148148,0.10740740740740741,0.0,0.13333333333333333
4,NZ-NTL,Ahipara,Northland,1230,Ahipara,203532,0.5158150851581509,0.4841849148418492,0.4602587800369686,0.0,0.0,0.014787430683918669,0.5083179297597042,0.0166358595194085,0.06420351302241066,0.08479709267110842,0.06783767413688674,0.06056935190793458,0.05330102967898243,0.050878255602665054,0.04845548152634767,0.04603270745003028,0.06056935190793458,0.059357964869775896,0.07752877044215627,0.07752877044215627,0.08600847970926712,0.07147183525136282,0.03391883706844337,0.024227740763173834,0.016959418534221685,0.01635372501514234,0.1901840490797546,0.10736196319018405,0.2331288343558282,0.11042944785276074,0.13190184049079753,0.12269938650306748,0.06441717791411043,0.015337423312883436,0.0,0.024539877300613498,0.47703180212014135,0.127208480565371,0.0,0.18374558303886926
5,NZ-NTL,Kaitaia East,Northland,2388,Kaitaia East,203532,0.5201005025125628,0.4798994974874372,0.3747572815533981,0.0,0.0,0.043689320388349516,0.5708737864077671,0.010679611650485437,0.09122149328334896,0.0887222742892846,0.09122149328334896,0.07560137457044673,0.06747891283973759,0.06373008434864105,0.061855670103092786,0.05248359887535145,0.047485160887222745,0.05998125585754452,0.055607622617931896,0.05373320837238363,0.05185879412683536,0.04311152764761012,0.032489846922836615,0.023742580443611373,0.01811933770696657,0.02155576382380506,0.2013888888888889,0.1371527777777778,0.2951388888888889,0.1111111111111111,0.1267361111111111,0.08506944444444445,0.029513888888888888,0.008680555555555556,0.0,0.005208333333333333,0.49902152641878667,0.10567514677103718,0.0,0.07827788649706457
6,NZ-NTL,Kaitaia West,Northland,3483,Kaitaia West,203532,0.5254091300602929,0.4745908699397072,0.3891820580474934,0.0,0.0,0.03759894459102903,0.5646437994722955,0.008575197889182058,0.09126130004304778,0.09083082221265605,0.08695652173913043,0.06930693069306931,0.06284976323719328,0.06284976323719328,0.056823073611709,0.04606112785191563,0.0482135170038743,0.05510116229014206,0.0594059405940594,0.04649160568230736,0.05510116229014206,0.041325871717606544,0.04089539388721481,0.027981058975462762,0.02927249246663797,0.02927249246663797,0.21251475796930341,0.12750885478158205,0.3022432113341204,0.12278630460448642,0.1180637544273908,0.06965761511216056,0.03659976387249114,0.0070838252656434475,0.0,0.0035419126328217238,0.4860557768924303,0.09561752988047809,0.0,0.10092961487383798
7,NZ-NTL,Oruru-Parapara,Northland,846,Oruru-Parapara,203532,0.4964539007092199,0.5035460992907801,0.5942857142857143,0.0,0.0,0.017142857142857144,0.3657142857142857,0.022857142857142857,0.05636208368915457,0.059777967549103334,0.07002561912894961,0.07002561912894961,0.030742954739538857,0.04099060631938514,0.037574722459436376,0.032450896669513236,0.05123825789923143,0.08368915456874466,0.09222886421861656,0.0888129803586678,0.09052092228864218,0.07002561912894961,0.04355251921434671,0.028181041844577284,0.033304867634500426,0.02049530315969257,0.21145374449339208,0.1145374449339207,0.29515418502202645,0.10572687224669604,0.11894273127753303,0.0881057268722467,0.048458149779735685,0.013215859030837005,0.0,0.004405286343612335,0.47029702970297027,0.11386138613861387,0.0,0.14356435643564355
8,NZ-NTL,Taumarumaru,Northland,2193,Taumarumaru,203532,0.5191780821917809,0.4808219178082192,0.6632064590542099,0.0,0.0,0.025374855824682813,0.2964244521337947,0.014994232987312572,0.05673758865248227,0.057413036136440394,0.04660587639311044,0.037149611617696726,0.033772374197906116,0.03985140155352921,0.035123269165822354,0.04728132387706856,0.044579533941236066,0.05673758865248227,0.05336035123269166,0.08983451536643026,0.07565011820330969,0.12090509962850389,0.0851063829787234,0.05268490374873354,0.04559270516717325,0.021614319486659914,0.14098360655737704,0.11147540983606558,0.30655737704918035,0.13114754098360656,0.10491803278688525,0.10983606557377049,0.06229508196721312,0.021311475409836064,0.0,0.011475409836065573,0.4296028880866426,0.15162454873646208,0.0,0.18050541516245489
9,NZ-NTL,Herekino-Takahue,Northland,963,Herekino-Takahue,203532,0.4610591900311526,0.5389408099688473,0.5215189873417722,0.0,0.0,0.007594936708860759,0.4582278481012658,0.012658227848101266,0.05104408352668213,0.0897138437741686,0.09126063418406806,0.06805877803557618,0.04021655065738593,0.038669760247486466,0.038669760247486466,0.04795050270688322,0.05877803557617943,0.07424593967517401,0.07733952049497293,0.08043310131477185,0.06805877803557618,0.0711523588553751,0.05568445475638051,0.027842227378190254,0.016241299303944315,0.004640371229698376,0.19591836734693877,0.1306122448979592,0.2612244897959184,0.09795918367346938,0.13877551020408163,0.09387755102040816,0.05714285714285714,0.0163265306122449,0.0,0.00816326530612245,0.4977973568281938,0.1013215859030837,0.0,0.13215859030837004
